ALG3,AP4B1,CDKL5,EFTUD2,FGF19,FLNA,FOXL2,HRAS,IKBKG,LETM1,MYCN,NBN,RNF168,SLC25A19,SNRPN,TUBB6,WDR62,AP4E1,AP4S1,ASPM,BUB1B,CENPJ,CENPL,CEP135,CEP152,CEP76,CHEK1,CKAP2,DLG3,ERCC8,H2AFX,HNRNPU,MCM8,MCPH1,MDC1,MRE11A,NES,NHEJ1,PCNT,PHF6,PLK4,PTER,RAD50,SEH1L,SMC1A,STIL,TSEN54,TUBB2B,USP39,VRK1,WHSC1,XRCC4,ZNF519,ALG9,CDK5RAP2,CRBN,NR2E1,PAX6,ZIC2,AKT3,CNTN4,COG5,FOXG1,GPR56,LIG4,SIX3,SLC9A6,TRAPPC9,TUBA1A,CHD3,COG7,KIF26B,MECP2,MZT2B,POMT1,POMT2,TSEN34,EFCAB2,HYDIN,TBR1,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0.42,0,0,0,0,0.683,0,0.585,0,0,0.462,0,0,0.895,0,0.659,0,0,0.527,0,0.946,0,0,0,0.767,0,0,0,0.719,0,0,0,0,0,0,0,0,0,0,0.727,0,0,0,0,0,0,0,0,0.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.183552322,0.514384279,1.440816969,0.054332192,-0.420140235,0.480670346,-0.623051903,-1.318307889,-1.312256082,
0,0,0,0,0,0,0,0,0,0,0,0.999,0.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668,0,0,0,0.999,0,0,0.719,0,0.981,0,0,0,0,0,0,0.981,0,0.583,0,0,0,0,0,0,0.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.227038208,1.191973634,1.393406832,-0.163555367,-0.301404571,-0.49469706,-0.834023907,-1.144324938,-0.87441283,
0,0,0,0,0,0,0,0,0,0,0,0.999,0.429,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0.779,0,0,0,0.994,0,0,0,0.981,0,0,0,0,0,0,0,0.999,0,0.94,0,0,0,0,0,0,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.554369069,0.948269764,1.245454499,-0.106223983,-0.116528922,-0.907329033,-0.860598339,-0.861735638,-0.895677416,
0,0,0,0,0,0,0,0,0,0,0.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569,0.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,2,1.824997414,0.317200487,1.300434097,0.013645631,-0.395269728,-0.42308514,-0.494114543,-1.079253663,-1.064554556,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.268099573,1.526298231,0.652462898,-0.137306241,0.11836005,-0.188856965,-0.895556244,-1.271950774,-1.071550528,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971,0,0.922,0.923,0.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933,0,0,0,0,0,0,0,0,0,0,2,1.689635315,0.767166345,1.117284339,-0.373799329,-0.151075802,-1.336471385,-0.95469418,-0.662572551,-0.095472752,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609,0,0,0,0,0,0.553,0,0,0,0,0,0,0,2,-0.319808006,1.972467687,1.265923671,-0.050927789,0.046499962,-0.418217426,-0.534064168,-0.893843846,-1.068030086,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859,0.858,0.993,0.418,0.979,0.998,0.907,0.849,0.756,0,0,0,0,0,0,0,0,0,0,0.942,0,0,0,0,0,0.427,0.823,0,0,0,0.529,0.442,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0,0,0,0,0,0,0,0,0,0,0,2,1.3765371,0.395973472,1.160111678,0.901151941,-0.652813612,-1.257594207,-0.448339556,-0.240599188,-1.234427628,
0,0,0,0,0.508,0,0,0.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.612229971,1.224358019,1.7700766,0.008151761,-0.374667839,-0.872422838,-1.103594912,-0.825005352,-0.439125409,
0,0,0,0,0,0,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671,0,0,0,0.985,0,0,0,0.981,0.999,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.424520354,1.875090083,-0.332406021,-0.221038906,0.239459244,-0.704878517,-0.721763464,-0.829871867,-0.729110906,
