Gene_Symbol,Day,Value,Cluster
NGFR,d19,0.038094164,2
NGFR,d26,-0.635943392,2
NGFR,d33,-0.086718236,2
NGFR,d49,-0.694235537,2
NGFR,d63,-0.957553434,2
NGFR,d77,-0.942888616,2
PARP1,d0,2.01771137,2
PARP1,d7,0.518420654,2
PARP1,d12,0.563136852,2
PARP1,d19,-0.17739083,2
PARP1,d26,0.475672723,2
PARP1,d33,-0.539441219,2
PARP1,d49,-0.734813235,2
PARP1,d63,-1.068157922,2
PARP1,d77,-1.055138392,2
PHF6,d0,-0.319808006,2
PHF6,d7,1.972467687,2
PHF6,d12,1.265923671,2
PHF6,d19,-0.050927789,2
PHF6,d26,0.046499962,2
PHF6,d33,-0.418217426,2
PHF6,d49,-0.534064168,2
PHF6,d63,-0.893843846,2
PHF6,d77,-1.068030086,2
PON1,d0,-0.013844025,2
PON1,d7,2.605799726,2
PON1,d12,0.051581717,2
PON1,d19,-0.405655372,2
PON1,d26,-0.300824024,2
PON1,d33,-0.392667047,2
PON1,d49,-0.477774063,2
PON1,d63,-0.550812743,2
PON1,d77,-0.515804169,2
SIRT1,d0,2.155629228,2
SIRT1,d7,0.875583273,2
SIRT1,d12,0.472992588,2
SIRT1,d19,-0.349850484,2
SIRT1,d26,-0.603569743,2
SIRT1,d33,-0.269426211,2
SIRT1,d49,-0.546542565,2
SIRT1,d63,-0.859988652,2
SIRT1,d77,-0.874827434,2
SORL1,d0,1.168415053,2
SORL1,d7,2.035036078,2
SORL1,d12,-0.199385141,2
SORL1,d19,-0.187396933,2
SORL1,d26,0.080976162,2
SORL1,d33,-0.273074971,2
SORL1,d49,-0.712989223,2
SORL1,d63,-0.924083558,2
SORL1,d77,-0.987497468,2
TARDBP,d0,1.741291634,2
TARDBP,d7,1.080801501,2
TARDBP,d12,0.758916729,2
TARDBP,d19,-0.488139924,2
TARDBP,d26,0.25747538,2
TARDBP,d33,-1.092100037,2
TARDBP,d49,-0.685524894,2
TARDBP,d63,-0.686632513,2
TARDBP,d77,-0.886087876,2
TFCP2,d0,1.295603694,2
TFCP2,d7,1.374901007,2
TFCP2,d12,0.468613972,2
TFCP2,d19,-0.449914339,2
TFCP2,d26,0.018485467,2
TFCP2,d33,-0.014990992,2
TFCP2,d49,0.060445315,2
TFCP2,d63,-1.048764986,2
TFCP2,d77,-1.704379139,2
THOP1,d0,2.324225704,2
THOP1,d7,0.566081324,2
THOP1,d12,0.228521488,2
THOP1,d19,0.046904455,2
THOP1,d26,-0.244100711,2
THOP1,d33,-0.771193775,2
THOP1,d49,-0.805560404,2
THOP1,d63,-0.760483418,2
THOP1,d77,-0.584394663,2
YWHAQ,d0,2.10968864,2
YWHAQ,d7,0.041671035,2
YWHAQ,d12,0.93190357,2
