Gene_Symbol,Day,Value,Cluster
SHANK3,d0,-2.468069229,4
SHANK3,d7,-0.204560647,4
SHANK3,d12,0.373239478,4
SHANK3,d19,-0.0452276,4
SHANK3,d26,1.142439144,4
SHANK3,d33,0.170524388,4
SHANK3,d49,0.310051269,4
SHANK3,d63,0.49252638,4
SHANK3,d77,0.229076817,4
TLE6,d0,-0.922444722,4
TLE6,d7,-1.010664932,4
TLE6,d12,-1.191542198,4
TLE6,d19,1.981513172,4
TLE6,d26,0.222235259,4
TLE6,d33,0.675126789,4
TLE6,d49,0.320485587,4
TLE6,d63,-0.329585936,4
TLE6,d77,0.254876981,4
CAPS2,d0,-1.514709086,5
CAPS2,d7,-1.0917737,5
CAPS2,d12,-1.011908728,5
CAPS2,d19,0.175131316,5
CAPS2,d26,0.246238576,5
CAPS2,d33,0.493488021,5
CAPS2,d49,0.751108837,5
CAPS2,d63,1.561339182,5
CAPS2,d77,0.391085582,5
DDX60L,d0,-0.961108592,5
DDX60L,d7,-0.614611972,5
DDX60L,d12,-1.05596185,5
DDX60L,d19,-0.847096782,5
DDX60L,d26,-0.179159741,5
DDX60L,d33,-0.080925934,5
DDX60L,d49,1.457767399,5
DDX60L,d63,1.364667192,5
DDX60L,d77,0.91643028,5
FOXP2,d0,-1.538371041,5
FOXP2,d7,-1.401175217,5
FOXP2,d12,0.02932242,5
FOXP2,d19,0.419578162,5
FOXP2,d26,-0.036591819,5
FOXP2,d33,0.300763863,5
FOXP2,d49,-0.329970568,5
FOXP2,d63,1.166788248,5
FOXP2,d77,1.389655951,5
GABRA2,d0,-1.392184283,5
GABRA2,d7,-1.315868796,5
GABRA2,d12,-0.390792639,5
GABRA2,d19,-0.457622798,5
GABRA2,d26,0.192879095,5
GABRA2,d33,0.473576791,5
GABRA2,d49,0.246791561,5
GABRA2,d63,1.045492342,5
GABRA2,d77,1.597728728,5
GAD1,d0,-1.072943339,5
GAD1,d7,-0.6732686,5
GAD1,d12,-0.661974807,5
GAD1,d19,-0.865067442,5
